"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","alpha","loss","oversample","penalty","random_state","random_state_split","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"restful-sweep-110","898fl69o","finished","-","7ben18","","2023-06-04T09:47:34.000Z","302","e3zlmhbx","0.000001","squared_hinge","false","l2","2755","3403","0.2","false","0.9045990040660724","0.7878980480027578","0.9055071545245637","0.7788778339498901","0.910437984130102","0.8081212624929379","0.9045990040660724","0.7878980480027578"
"magic-sweep-109","898fl69o","finished","-","7ben18","","2023-06-04T09:43:49.000Z","224","e3zlmhbx","0.000001","squared_hinge","false","l2","6152","257","0.2","false","0.8815797470965587","0.7023288146233322","0.8826037131778012","0.705696745881306","0.8844206673388554","0.8098035193004589","0.8815797470965587","0.7023288146233322"
"stellar-sweep-108","898fl69o","finished","-","7ben18","","2023-06-04T09:38:53.000Z","293","e3zlmhbx","0.000001","squared_hinge","false","l2","6177","1652","0.2","false","0.901871717418532","0.6661438832919384","0.9009455360876008","0.6615617620353881","0.9028465464841066","0.7600440284320092","0.901871717418532","0.6661438832919384"
"deft-sweep-107","898fl69o","finished","-","7ben18","","2023-06-04T09:34:50.000Z","241","e3zlmhbx","0.000001","squared_hinge","false","l2","4320","5491","0.2","false","0.8680774444607706","0.7550979557224848","0.8706569914453148","0.7485731051468891","0.8823634459122643","0.7877266946184717","0.8680774444607706","0.7550979557224848"
"mild-sweep-106","898fl69o","finished","-","7ben18","","2023-06-04T09:25:57.000Z","531","e3zlmhbx","0.000001","squared_hinge","false","l2","6113","4870","0.2","false","0.8833889273668596","0.7151760558395039","0.8845918002102244","0.7018254582056567","0.8889685400254059","0.7532579167670689","0.8833889273668596","0.7151760558395039"
"efficient-sweep-105","898fl69o","finished","-","7ben18","","2023-06-04T09:20:14.000Z","337","e3zlmhbx","0.000001","squared_hinge","false","l2","9816","4749","0.2","false","0.8870683683759153","0.6707412445376812","0.8869413488205209","0.6844367672577981","0.889498408192802","0.8008623780021126","0.8870683683759153","0.6707412445376812"
"crimson-sweep-104","898fl69o","finished","-","7ben18","","2023-06-04T09:07:06.000Z","787","e3zlmhbx","0.000001","squared_hinge","false","l2","8333","7544","0.2","false","0.8718322048921291","0.698834133819468","0.872018768818879","0.7131109928328514","0.8745625679658835","0.7682643322965935","0.8718322048921291","0.698834133819468"
"kind-sweep-103","898fl69o","finished","-","7ben18","","2023-06-04T08:56:18.000Z","642","e3zlmhbx","0.000001","squared_hinge","false","l2","9211","6812","0.2","false","0.8643306694927168","0.7507669700172729","0.8688265480606432","0.758896603652054","0.8785138711975107","0.7954693890860763","0.8643306694927168","0.7507669700172729"
"revived-sweep-102","898fl69o","finished","-","7ben18","","2023-06-04T08:47:21.000Z","531","e3zlmhbx","0.000001","squared_hinge","false","l2","4529","7043","0.2","false","0.872251088650222","0.7861260112996934","0.8734569419205449","0.7998458232040278","0.8772541195705794","0.8249124878491468","0.872251088650222","0.7861260112996934"
"misunderstood-sweep-101","898fl69o","finished","-","7ben18","","2023-06-04T08:39:34.000Z","463","e3zlmhbx","0.000001","squared_hinge","false","l2","7996","4214","0.2","false","0.8467390624453347","0.691943978932248","0.8382757446865994","0.7100900492730822","0.8546978543359771","0.7952791685723777","0.8467390624453347","0.691943978932248"
"daily-sweep-100","898fl69o","finished","-","7ben18","","2023-06-04T08:31:23.000Z","487","e3zlmhbx","0.000001","squared_hinge","false","l2","8246","3915","0.2","false","0.7313341221347666","0.6173228650523374","0.741038613551578","0.6533648907734683","0.7956038244179282","0.7875397684786184","0.7313341221347666","0.6173228650523374"
"twilight-sweep-99","898fl69o","finished","-","7ben18","","2023-06-04T08:24:22.000Z","419","e3zlmhbx","0.000001","squared_hinge","false","l2","1115","1462","0.2","false","0.8806083850943389","0.7589757176245925","0.8838172382570736","0.7637790379122923","0.8905297290117761","0.8081481391372893","0.8806083850943389","0.7589757176245925"
"woven-sweep-98","898fl69o","finished","-","7ben18","","2023-06-04T08:18:12.000Z","366","e3zlmhbx","0.000001","squared_hinge","false","l2","2732","4921","0.2","false","0.9131774162234378","0.5792583359904152","0.9134011395176214","0.5945959164856468","0.9186072707436608","0.6994841036568499","0.9131774162234378","0.5792583359904152"
"volcanic-sweep-97","898fl69o","finished","-","7ben18","","2023-06-04T08:12:47.000Z","323","e3zlmhbx","0.000001","squared_hinge","false","l2","4837","1514","0.2","false","0.883056440060018","0.6986817967064072","0.8822704788205005","0.6667460996620026","0.8837871637791571","0.785309974697557","0.883056440060018","0.6986817967064072"
"radiant-sweep-96","898fl69o","finished","-","7ben18","","2023-06-04T08:02:43.000Z","600","e3zlmhbx","0.000001","squared_hinge","false","l2","3055","9517","0.2","false","0.8662666116411936","0.5430304924094472","0.867803515724892","0.5590903874773573","0.8765797238746459","0.7816055217774063","0.8662666116411936","0.5430304924094472"
"visionary-sweep-95","898fl69o","finished","-","7ben18","","2023-06-04T07:53:24.000Z","555","e3zlmhbx","0.000001","squared_hinge","false","l2","2398","6834","0.2","false","0.8247679176920835","0.7701254962873713","0.8246762925192062","0.781980196739787","0.834738907783551","0.8518643949994789","0.8247679176920835","0.7701254962873713"
"crimson-sweep-94","898fl69o","finished","-","7ben18","","2023-06-04T07:46:02.000Z","437","e3zlmhbx","0.000001","squared_hinge","false","l2","9903","7357","0.2","false","0.8789390937061609","0.4886376798943087","0.8801764952678541","0.5002660371496868","0.8823857346219994","0.6317912195841772","0.8789390937061609","0.4886376798943087"
"autumn-sweep-93","898fl69o","finished","-","7ben18","","2023-06-04T07:37:44.000Z","493","e3zlmhbx","0.000001","squared_hinge","false","l2","9492","8941","0.2","false","0.8853200630723161","0.5972249226690234","0.8868278602060649","0.5933710363106008","0.8892178109058452","0.6859777639580745","0.8853200630723161","0.5972249226690234"
"jolly-sweep-92","898fl69o","finished","-","7ben18","","2023-06-04T07:23:49.000Z","831","e3zlmhbx","0.000001","squared_hinge","false","l2","6825","4365","0.2","false","0.9008050362142698","0.6358760957943085","0.9037140650864532","0.633950728824239","0.9093343781563972","0.6555109039132949","0.9008050362142698","0.6358760957943085"
"amber-sweep-91","898fl69o","finished","-","7ben18","","2023-06-04T07:18:17.000Z","329","e3zlmhbx","0.000001","squared_hinge","false","l2","119","9935","0.2","false","0.9205249970476044","0.5456523542313279","0.9197042038809178","0.5327446566461068","0.9196788450876372","0.6452552016478683","0.9205249970476044","0.5456523542313279"
