"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","alpha","loss","oversample","penalty","random_state","random_state_split","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"fast-sweep-105","zmszzmot","finished","-","7ben18","","2023-06-04T09:42:09.000Z","796","fv5fj9w9","0.000001","squared_hinge","false","l2","3871","2784","0.2","false","0.866549382350197","0.7169077450776308","0.8668811278467442","0.7401875101450531","0.8708897710764734","0.7875608573807454","0.866549382350197","0.7169077450776308"
"woven-sweep-104","zmszzmot","finished","-","7ben18","","2023-06-04T09:31:59.000Z","605","fv5fj9w9","0.000001","squared_hinge","false","l2","6368","2357","0.2","false","0.8294411229029449","0.5566625738672273","0.8219627999068828","0.5630916021116613","0.8239866882473058","0.6606006470169841","0.8294411229029449","0.5566625738672273"
"dashing-sweep-103","zmszzmot","finished","-","7ben18","","2023-06-04T09:27:02.000Z","295","fv5fj9w9","0.000001","squared_hinge","false","l2","9770","5026","0.2","false","0.9054420890727296","0.6387172990190396","0.9047533324141872","0.6457520609158836","0.9085873461728974","0.7197129212953743","0.9054420890727296","0.6387172990190396"
"valiant-sweep-102","zmszzmot","finished","-","7ben18","","2023-06-04T09:14:05.000Z","773","fv5fj9w9","0.000001","squared_hinge","false","l2","2031","7210","0.2","false","0.8444218678991355","0.7816402614805226","0.8473318534061058","0.7869733658980643","0.85939298126289","0.7999489988707911","0.8444218678991355","0.7816402614805226"
"worthy-sweep-101","zmszzmot","finished","-","7ben18","","2023-06-04T09:09:03.000Z","297","fv5fj9w9","0.000001","squared_hinge","false","l2","337","3817","0.2","false","0.8770222348618955","0.920488743730316","0.8767510980491295","0.9210709515171142","0.8795544172563912","0.9254370451130794","0.8770222348618955","0.920488743730316"
"cool-sweep-100","zmszzmot","finished","-","7ben18","","2023-06-04T09:02:34.000Z","388","fv5fj9w9","0.000001","squared_hinge","false","l2","9752","2871","0.2","false","0.9326137598921348","0.7163552824737777","0.931952718078866","0.7311197756995106","0.9320994190954768","0.7893857454344746","0.9326137598921348","0.7163552824737777"
"peachy-sweep-99","zmszzmot","finished","-","7ben18","","2023-06-04T08:55:48.000Z","403","fv5fj9w9","0.000001","squared_hinge","false","l2","6965","4194","0.2","false","0.8962034843919089","0.7763091977199484","0.8965380079200057","0.7882789460173121","0.8972755904335232","0.8330238756333844","0.8962034843919089","0.7763091977199484"
"dauntless-sweep-98","zmszzmot","finished","-","7ben18","","2023-06-04T08:49:56.000Z","349","fv5fj9w9","0.000001","squared_hinge","false","l2","56","16","0.2","false","0.8432741109880245","0.6425314795651773","0.8464907587227747","0.6690758230236673","0.8553556122012715","0.7727395539806275","0.8432741109880245","0.6425314795651773"
"astral-sweep-97","zmszzmot","finished","-","7ben18","","2023-06-04T08:42:35.000Z","437","fv5fj9w9","0.000001","squared_hinge","false","l2","3847","465","0.2","false","0.866950987270183","0.7884291040554443","0.8702320290280308","0.7944268648437227","0.8786458355382182","0.8503963741716071","0.866950987270183","0.7884291040554443"
"fluent-sweep-96","zmszzmot","finished","-","7ben18","","2023-06-04T08:34:53.000Z","457","fv5fj9w9","0.000001","squared_hinge","false","l2","1767","589","0.2","false","0.8702044937800095","0.6695792431515369","0.8635160245732457","0.6777262023477935","0.881568331197536","0.6936625874874723","0.8702044937800095","0.6695792431515369"
