"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","ccp_alpha","class_weight","criterion","max_depth","max_features","min_samples_leaf","min_samples_split","oversample","random_state","random_state_split","splitter","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"rosy-sweep-507","wz7g5kpj","finished","-","7ben18","","2023-06-03T10:06:54.000Z","92","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","8857","1035","best","0.2","false","0.9622010894148028","0.8019301704016351","0.9625234929145152","0.7969576685636968","0.9638909135992472","0.8296059642153579","0.9622010894148028","0.8019301704016351"
"generous-sweep-164","wz7g5kpj","finished","-","7ben18","","2023-06-02T22:19:57.000Z","146","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","5487","8069","best","0.2","false","0.9723424679004288","0.8384226036619381","0.972639164670272","0.8402802668020192","0.9737062427520377","0.8509232039011253","0.9723424679004288","0.8384226036619381"
"dandy-sweep-53","wz7g5kpj","finished","-","7ben18","","2023-06-02T18:17:55.000Z","93","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","2693","867","best","0.2","false","0.9666974022519726","0.8569569202566453","0.9666519498550687","0.855205469460149","0.9668916732046766","0.8645791030880543","0.9666974022519726","0.8569569202566453"
"effortless-sweep-766","wz7g5kpj","finished","-","7ben18","","2023-06-03T17:12:09.000Z","91","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","7852","7490","best","0.2","false","0.9485769226275228","0.5912202925357262","0.94909136661006","0.6359583368786952","0.9531793681426992","0.7494142241821211","0.9485769226275228","0.5912202925357262"
"eternal-sweep-371","wz7g5kpj","finished","-","7ben18","","2023-06-03T05:41:53.000Z","116","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","8557","7372","best","0.2","false","0.9614098579914244","0.7022987344046536","0.9619242375910004","0.7026074527569657","0.9634256399670263","0.7717316938035791","0.9614098579914244","0.7022987344046536"
"tough-sweep-480","wz7g5kpj","finished","-","7ben18","","2023-06-03T09:19:49.000Z","119","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","9013","1455","best","0.2","false","0.976672739313306","0.6475420414606988","0.9767486998200076","0.6402549132729336","0.9768615573989324","0.684094044525834","0.976672739313306","0.6475420414606988"
"skilled-sweep-224","wz7g5kpj","finished","-","7ben18","","2023-06-03T00:36:37.000Z","143","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","9113","7419","best","0.2","false","0.9626155496447344","0.7825724199429646","0.9627068239865566","0.7901302161319379","0.9628807789761316","0.8179441940457087","0.9626155496447344","0.7825724199429646"
"wandering-sweep-505","wz7g5kpj","finished","-","7ben18","","2023-06-03T10:03:38.000Z","93","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","3611","830","best","0.2","false","0.9683853176633276","0.8505899661693986","0.9685390523949094","0.8499901662388752","0.968947395610287","0.8499636726176863","0.9683853176633276","0.8505899661693986"
"clean-sweep-675","wz7g5kpj","finished","-","7ben18","","2023-06-03T14:42:54.000Z","98","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","9448","7012","best","0.2","false","0.971162241105834","0.6884243884617437","0.971420127971727","0.7047762128069358","0.9723689152150428","0.7375217511930069","0.971162241105834","0.6884243884617437"
"classic-sweep-314","wz7g5kpj","finished","-","7ben18","","2023-06-03T03:48:08.000Z","121","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","4194","7630","best","0.2","false","0.9512446541714104","0.644484606584367","0.9518317198909724","0.656406653899242","0.9529517631648816","0.7012330180723537","0.9512446541714104","0.644484606584367"
"sleek-sweep-651","wz7g5kpj","finished","-","7ben18","","2023-06-03T14:03:14.000Z","100","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","5363","1405","best","0.2","false","0.960555362126988","0.8377685952982803","0.9608193500024588","0.8366253419351182","0.961669138126765","0.8443076026771853","0.960555362126988","0.8377685952982803"
"good-sweep-421","wz7g5kpj","finished","-","7ben18","","2023-06-03T07:18:51.000Z","102","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","2844","9049","best","0.2","false","0.9778705961852376","0.7226740414490082","0.9778685477044372","0.7352085007479023","0.9780678851567012","0.7790377051567452","0.9778705961852376","0.7226740414490082"
"rose-sweep-29","wz7g5kpj","finished","-","7ben18","","2023-06-02T17:38:28.000Z","98","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","2494","1403","best","0.2","false","0.9513597379096564","0.6306091694039586","0.95140665957473","0.6270611422692126","0.9515075761199384","0.7073719204572778","0.9513597379096564","0.6306091694039586"
"blooming-sweep-522","wz7g5kpj","finished","-","7ben18","","2023-06-03T10:31:29.000Z","92","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","4756","1977","best","0.2","false","0.9470492246201504","0.7193983770994042","0.9483050502028872","0.7242312272683117","0.9544266852125232","0.7942192363909433","0.9470492246201504","0.7193983770994042"
"sunny-sweep-574","wz7g5kpj","finished","-","7ben18","","2023-06-03T11:56:33.000Z","93","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","6720","5138","best","0.2","false","0.9708383640028","0.6918115787464778","0.9710712638603228","0.7312122943990887","0.9721412389414016","0.8219613503944292","0.9708383640028","0.6918115787464778"
"electric-sweep-621","wz7g5kpj","finished","-","7ben18","","2023-06-03T13:13:42.000Z","95","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","1860","9936","best","0.2","false","0.9619435561187032","0.7485610530497795","0.9629288001911406","0.7536811070972574","0.9665014418309068","0.7711201008174048","0.9619435561187032","0.7485610530497795"
"dazzling-sweep-626","wz7g5kpj","finished","-","7ben18","","2023-06-03T13:21:57.000Z","92","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","5307","1935","best","0.2","false","0.9663516515582374","0.7499091524457586","0.9665972786462196","0.7607046671281925","0.9673139194745924","0.7947187468540319","0.9663516515582374","0.7499091524457586"
"golden-sweep-263","wz7g5kpj","finished","-","7ben18","","2023-06-03T02:02:22.000Z","151","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","8831","5827","best","0.2","false","0.9547458844858784","0.7806862996756353","0.9552258234539204","0.7925019457184705","0.957194986631934","0.8254047861591093","0.9547458844858784","0.7806862996756353"
"royal-sweep-308","wz7g5kpj","finished","-","7ben18","","2023-06-03T03:35:38.000Z","112","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","5543","8116","best","0.2","false","0.9658474336371404","0.7237084548451811","0.9657915515117116","0.7620980451096033","0.9658010213216934","0.8579113814019144","0.9658474336371404","0.7237084548451811"
"snowy-sweep-586","wz7g5kpj","finished","-","7ben18","","2023-06-03T12:16:26.000Z","93","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","7656","1807","best","0.2","false","0.9623949624216492","0.6947058179928335","0.9626339044808272","0.7118225947572255","0.9631954396688605","0.7795745304438407","0.9623949624216492","0.6947058179928335"
"snowy-sweep-445","wz7g5kpj","finished","-","7ben18","","2023-06-03T08:08:00.000Z","124","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","7991","9105","best","0.2","false","0.9534632124957748","0.6810506859494327","0.9545137683142908","0.6654627776526301","0.9572026222823145","0.7042410151384131","0.9534632124957748","0.6810506859494327"
"light-sweep-301","wz7g5kpj","finished","-","7ben18","","2023-06-03T03:21:51.000Z","115","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","207","1327","best","0.2","false","0.974474818198316","0.7235944496454827","0.974469603746376","0.7566989137600182","0.9745981321418308","0.8489259739105575","0.974474818198316","0.7235944496454827"
"classic-sweep-515","wz7g5kpj","finished","-","7ben18","","2023-06-03T10:20:10.000Z","93","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","1092","218","best","0.2","false","0.9657210440688796","0.7584573516909817","0.966164271914821","0.7547006621494852","0.9678888221222168","0.7657095848257736","0.9657210440688796","0.7584573516909817"
"unique-sweep-123","wz7g5kpj","finished","-","7ben18","","2023-06-02T20:46:01.000Z","158","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","868","6747","best","0.2","false","0.9654410663920044","0.744452081350675","0.9655213273570492","0.7881181359832653","0.9658590236199848","0.8942097015309608","0.9654410663920044","0.744452081350675"
"graceful-sweep-113","wz7g5kpj","finished","-","7ben18","","2023-06-02T20:22:32.000Z","128","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","7449","6013","best","0.2","false","0.954547915122223","0.7932537732974297","0.9549516647865164","0.816537836575002","0.9559590692631854","0.8807160735378718","0.954547915122223","0.7932537732974297"
"hardy-sweep-151","wz7g5kpj","finished","-","7ben18","","2023-06-02T21:50:08.000Z","124","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","9415","5104","best","0.2","false","0.964303696934926","0.7524531345071035","0.964764376431043","0.7642644859576696","0.9666662113015188","0.8009378217434394","0.964303696934926","0.7524531345071035"
"deep-sweep-666","wz7g5kpj","finished","-","7ben18","","2023-06-03T14:28:02.000Z","93","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","7878","9033","best","0.2","false","0.9598837314565334","0.8371584356830563","0.9601850867964596","0.8450541613115373","0.962728549557488","0.8622681721592661","0.9598837314565334","0.8371584356830563"
"kind-sweep-111","wz7g5kpj","finished","-","7ben18","","2023-06-02T20:18:00.000Z","131","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","9790","7930","best","0.2","false","0.9590195202893038","0.7994543393017433","0.9588934897568148","0.8031484804890455","0.9589346259567952","0.8195359858800231","0.9590195202893038","0.7994543393017433"
"likely-sweep-321","wz7g5kpj","finished","-","7ben18","","2023-06-03T04:02:01.000Z","111","wy512u5o","0","balanced","gini","10","sqrt","10","10","false","8800","5639","best","0.2","false","0.9360592513155482","0.7759854818192075","0.9366077591119668","0.7737704153632119","0.9393783099493638","0.7905301411647506","0.9360592513155482","0.7759854818192075"
