"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","bootstrap","class_weight","criterion","max_depth","max_features","min_samples_leaf","min_samples_split","n_estimators","oversample","random_state","random_state_split","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"restful-sweep-885","0hkkc43l","finished","-","7ben18","","2023-06-03T18:36:52.000Z","55","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","7560","2628","0.2","false","","","","","","","",""
"rose-sweep-884","0hkkc43l","finished","-","7ben18","","2023-06-03T18:35:15.000Z","92","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","3672","5038","0.2","false","0.9800567345452884","0.8729283119258116","0.9799438166956908","0.8770937436547618","0.9809589844769492","0.885187627759107","0.9800567345452884","0.8729283119258116"
"firm-sweep-883","0hkkc43l","finished","-","7ben18","","2023-06-03T18:33:33.000Z","99","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","9589","535","0.2","false","0.9817808276677304","0.7986833118312211","0.9815852995444132","0.7956383286385516","0.9823714446554196","0.849678750145929","0.9817808276677304","0.7986833118312211"
"cerulean-sweep-882","0hkkc43l","finished","-","7ben18","","2023-06-03T18:31:54.000Z","93","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","3243","9108","0.2","false","0.981918268675844","0.8369316818148615","0.9815677927916304","0.8337220243235542","0.9826276741316275","0.8544204656935722","0.981918268675844","0.8369316818148615"
"dauntless-sweep-881","0hkkc43l","finished","-","7ben18","","2023-06-03T18:30:16.000Z","93","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","2197","9910","0.2","false","0.9838952331086168","0.861984261936038","0.9836780573757836","0.8590293831747221","0.984298963051326","0.8725941984670949","0.9838952331086168","0.861984261936038"
"logical-sweep-880","0hkkc43l","finished","-","7ben18","","2023-06-03T18:28:38.000Z","93","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","2302","3100","0.2","false","0.9816456751067772","0.7733914345262444","0.9814283329703404","0.7758570782541806","0.9820501890739962","0.8127982895677176","0.9816456751067772","0.7733914345262444"
"true-sweep-879","0hkkc43l","finished","-","7ben18","","2023-06-03T18:26:55.000Z","98","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","6880","8562","0.2","false","0.9842260430747638","0.7824808511802738","0.9839829009598272","0.7861155970928796","0.984754567302236","0.8311292210831751","0.9842260430747638","0.7824808511802738"
"smooth-sweep-878","0hkkc43l","finished","-","7ben18","","2023-06-03T18:25:18.000Z","91","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","1156","8301","0.2","false","0.9855212995992512","0.7456448634341197","0.9854612123892794","0.763170972890776","0.9857221380633427","0.8321870574555817","0.9855212995992512","0.7456448634341197"
"lyric-sweep-877","0hkkc43l","finished","-","7ben18","","2023-06-03T18:23:41.000Z","92","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","9880","8321","0.2","false","0.9863822997691843","0.8733576261601167","0.9861846869524707","0.8743278835547962","0.9867119927446542","0.9013120388584468","0.9863822997691843","0.8733576261601167"
"kind-sweep-876","0hkkc43l","finished","-","7ben18","","2023-06-03T18:22:09.000Z","91","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","3725","2756","0.2","false","0.9843778925123858","0.8968931465975242","0.9842615963718594","0.8935464342442204","0.9847589237680816","0.8976942956505187","0.9843778925123858","0.8968931465975242"
"noble-sweep-875","0hkkc43l","finished","-","7ben18","","2023-06-03T18:20:35.000Z","92","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","2545","6312","0.2","false","0.9915059935843322","0.7247605603214247","0.9914839658448164","0.7528861150263135","0.9915809572349868","0.8460825546411748","0.9915059935843322","0.7247605603214247"
"genial-sweep-874","0hkkc43l","finished","-","7ben18","","2023-06-03T18:19:00.000Z","91","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","3279","6508","0.2","false","0.9828717398806882","0.8346065624440793","0.9827406778204258","0.8433525892159235","0.983324676579","0.8750872843930138","0.9828717398806882","0.8346065624440793"
"leafy-sweep-873","0hkkc43l","finished","-","7ben18","","2023-06-03T18:17:21.000Z","95","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","628","5141","0.2","false","0.9884174718784564","0.7773162441138866","0.9883569379815216","0.781372187682259","0.9885537488946656","0.8407740854175807","0.9884174718784564","0.7773162441138866"
"golden-sweep-872","0hkkc43l","finished","-","7ben18","","2023-06-03T18:15:43.000Z","93","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","2837","5304","0.2","false","0.9888350372578564","0.890274451437765","0.9887727681553828","0.8856738983851914","0.9889387612730848","0.9076118005134796","0.9888350372578564","0.890274451437765"
"deft-sweep-871","0hkkc43l","finished","-","7ben18","","2023-06-03T18:14:05.000Z","93","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","5720","3372","0.2","false","0.9876973482578024","0.7691172923358174","0.9876171172053962","0.7735427834208956","0.987894771245888","0.8035005550149864","0.9876973482578024","0.7691172923358174"
"comic-sweep-870","0hkkc43l","finished","-","7ben18","","2023-06-03T18:12:27.000Z","93","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","8637","3815","0.2","false","0.9927533852379437","0.7733571944059763","0.9927456247104094","0.7850968985748994","0.992778367718632","0.8631670503213578","0.9927533852379437","0.7733571944059763"
"fragrant-sweep-869","0hkkc43l","finished","-","7ben18","","2023-06-03T18:10:55.000Z","90","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","6009","7443","0.2","false","0.9893800552955336","0.844602048857368","0.9893324523202862","0.8360479318602879","0.9895622393291352","0.8527434062739596","0.9893800552955336","0.844602048857368"
"hearty-sweep-868","0hkkc43l","finished","-","7ben18","","2023-06-03T18:09:17.000Z","93","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","7655","7280","0.2","false","0.9805679672150776","0.917978595719144","0.9803010140000544","0.9185222471773922","0.9812488086158728","0.926765593679272","0.9805679672150776","0.917978595719144"
"sweet-sweep-867","0hkkc43l","finished","-","7ben18","","2023-06-03T18:07:45.000Z","91","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","9097","2063","0.2","false","0.98663650568698","0.7982878769422054","0.9865381855698486","0.7992987897021211","0.9868707800555084","0.8325544413812617","0.98663650568698","0.7982878769422054"
"chocolate-sweep-866","0hkkc43l","finished","-","7ben18","","2023-06-03T18:06:04.000Z","95","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","9507","2334","0.2","false","0.9913628546952952","0.8680602034904976","0.9913383748918098","0.8725943036854461","0.9914163616520472","0.8830545781359191","0.9913628546952952","0.8680602034904976"
"treasured-sweep-865","0hkkc43l","finished","-","7ben18","","2023-06-03T18:04:17.000Z","98","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","6361","8115","0.2","false","0.9876013524638488","0.8438476551482949","0.9875089167275832","0.8434773365901188","0.9878506867265308","0.8541377420515588","0.9876013524638488","0.8438476551482949"
"drawn-sweep-864","0hkkc43l","finished","-","7ben18","","2023-06-03T18:02:36.000Z","95","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","9490","503","0.2","false","0.9811590368628422","0.7506350787273806","0.980990364677843","0.7530283557151874","0.9816019040551336","0.7901500817945235","0.9811590368628422","0.7506350787273806"
"smooth-sweep-863","0hkkc43l","finished","-","7ben18","","2023-06-03T18:00:59.000Z","92","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","8560","3460","0.2","false","0.9938506855618364","0.714606095046122","0.9938451164870664","0.7520913289034413","0.993868327086517","0.8734931170912215","0.9938506855618364","0.714606095046122"
"woven-sweep-862","0hkkc43l","finished","-","7ben18","","2023-06-03T17:59:21.000Z","97","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","952","1959","0.2","false","0.9834853900667164","0.8367414050203823","0.983352049699362","0.853157130341991","0.9839053005333136","0.9074307676717082","0.9834853900667164","0.8367414050203823"
"splendid-sweep-861","0hkkc43l","finished","-","7ben18","","2023-06-03T17:57:43.000Z","92","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","8666","5164","0.2","false","0.986300985223888","0.8249685746696508","0.9862103620598742","0.8431053478443499","0.986592843221854","0.892922217913375","0.986300985223888","0.8249685746696508"
"rosy-sweep-860","0hkkc43l","finished","-","7ben18","","2023-06-03T17:56:07.000Z","90","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","4761","9163","0.2","false","0.987657070051782","0.7700188094921437","0.987599494007254","0.7867912402625165","0.9878969230116704","0.8505830581222851","0.987657070051782","0.7700188094921437"
"whole-sweep-859","0hkkc43l","finished","-","7ben18","","2023-06-03T17:54:28.000Z","93","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","2070","8333","0.2","false","0.9893654179187384","0.8057115416230435","0.9892872793237104","0.803680659459504","0.989541377304088","0.8128144747634402","0.9893654179187384","0.8057115416230435"
"balmy-sweep-858","0hkkc43l","finished","-","7ben18","","2023-06-03T17:52:50.000Z","93","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","1819","8056","0.2","false","0.9853530625993276","0.7382302491243625","0.9852297260323384","0.752782277882288","0.9857639187850166","0.794522366662884","0.9853530625993276","0.7382302491243625"
"wandering-sweep-857","0hkkc43l","finished","-","7ben18","","2023-06-03T17:51:16.000Z","91","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","7628","4360","0.2","false","0.9860204568345674","0.8826172595077616","0.9858914015104636","0.8782675698478659","0.9862558934075012","0.893784277696625","0.9860204568345674","0.8826172595077616"
"fragrant-sweep-856","0hkkc43l","finished","-","7ben18","","2023-06-03T17:49:41.000Z","91","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","5013","4299","0.2","false","0.9907490618241752","0.8046499059576443","0.9907358899044356","0.821424358048207","0.9908037572542432","0.8627112345706609","0.9907490618241752","0.8046499059576443"
"ruby-sweep-855","0hkkc43l","finished","-","7ben18","","2023-06-03T17:48:06.000Z","91","tl0nmkb4","false","","gini","10","sqrt","5","10","6","false","9774","5418","0.2","false","0.9864871462662964","0.9066019166854892","0.9863513085806812","0.9027667529500568","0.986743108235981","0.9102281987608108","0.9864871462662964","0.9066019166854892"
