"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","bootstrap","class_weight","criterion","max_depth","max_features","min_samples_leaf","min_samples_split","n_estimators","oversample","random_state","random_state_split","test_size","undersample","accuracy_train","accuracy_val","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"brisk-sweep-884","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:34:41.000Z","93","1zl63867","false","","gini","10","sqrt","5","10","6","false","8943","4559","0.2","false","0.9904077888952664","0.7806939491280201","0.9903687771530918","0.7806082776526665","0.9905247208958472","0.8089736237580425","0.9904077888952664","0.7806939491280201"
"astral-sweep-883","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:33:03.000Z","92","1zl63867","false","","gini","10","sqrt","5","10","6","false","3495","9478","0.2","false","0.9838892151513068","0.8650591178247068","0.9837921307703588","0.8680571493247851","0.9842526737716246","0.8920100836825781","0.9838892151513068","0.8650591178247068"
"curious-sweep-882","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:31:25.000Z","93","1zl63867","false","","gini","10","sqrt","5","10","6","false","3195","5163","0.2","false","0.9776254762476831","0.9300219435904864","0.9772686111066914","0.9306350527728956","0.9786759340082776","0.9327005573194628","0.9776254762476831","0.9300219435904864"
"swift-sweep-881","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:29:48.000Z","93","1zl63867","false","","gini","10","sqrt","5","10","6","false","5219","9988","0.2","false","0.9890253232017604","0.7644305191316421","0.9889646152262253","0.7712025620753464","0.989187387241146","0.8038200235557852","0.9890253232017604","0.7644305191316421"
"denim-sweep-880","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:28:11.000Z","93","1zl63867","false","","gini","10","sqrt","5","10","6","false","7477","6572","0.2","false","0.9847922165011116","0.6959563870779475","0.9846732924267212","0.7119656771718796","0.9852132497068248","0.7589550588617097","0.9847922165011116","0.6959563870779475"
"silvery-sweep-879","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:26:33.000Z","93","1zl63867","false","","gini","10","sqrt","5","10","6","false","7315","4160","0.2","false","0.9845804583004536","0.8292816321810279","0.984331114657348","0.8274703161031678","0.9850212046290294","0.8365062959517673","0.9845804583004536","0.8292816321810279"
"neat-sweep-878","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:24:59.000Z","91","1zl63867","false","","gini","10","sqrt","5","10","6","false","1159","9132","0.2","false","0.986475202043251","0.904577899533145","0.9863730281473936","0.9048747773848552","0.9867764496035404","0.9172966225599072","0.986475202043251","0.904577899533145"
"different-sweep-877","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:23:22.000Z","92","1zl63867","false","","gini","10","sqrt","5","10","6","false","2238","6896","0.2","false","0.983865420853027","0.8080500120500469","0.983537997409994","0.8064828384737561","0.9843931297875272","0.8296145565399653","0.983865420853027","0.8080500120500469"
"silvery-sweep-876","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:21:46.000Z","91","1zl63867","false","","gini","10","sqrt","5","10","6","false","2152","7867","0.2","false","0.9871878646854342","0.8830820998687536","0.9871207787378522","0.8794373108217277","0.9874158248680064","0.8917098421069397","0.9871878646854342","0.8830820998687536"
"kind-sweep-875","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:20:15.000Z","89","1zl63867","false","","gini","10","sqrt","5","10","6","false","5646","6183","0.2","false","0.9834475334253152","0.8579285119875799","0.9833253689860728","0.8597237191624735","0.9837771524537466","0.8719286262397052","0.9834475334253152","0.8579285119875799"
"fast-sweep-874","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:18:37.000Z","93","1zl63867","false","","gini","10","sqrt","5","10","6","false","7998","7662","0.2","false","0.988634305258484","0.8439294666262119","0.988512413769744","0.8499791350528875","0.9888610370473284","0.8911439206504613","0.988634305258484","0.8439294666262119"
"dauntless-sweep-873","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:17:02.000Z","91","1zl63867","false","","gini","10","sqrt","5","10","6","false","1666","1215","0.2","false","0.9916322192003536","0.7061634611721327","0.9916291444326332","0.7532797498839192","0.991638129334152","0.8776185647098264","0.9916322192003536","0.7061634611721327"
"kind-sweep-872","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:15:24.000Z","93","1zl63867","false","","gini","10","sqrt","5","10","6","false","5650","5367","0.2","false","0.9861326159634712","0.7875382818868839","0.9859744410478792","0.7919186134919024","0.9864392708113828","0.8136943824811895","0.9861326159634712","0.7875382818868839"
"effortless-sweep-871","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:13:49.000Z","91","1zl63867","false","","gini","10","sqrt","5","10","6","false","5852","5766","0.2","false","0.9933974117275748","0.768463260623956","0.9933908419573751","0.775863548212966","0.9934067784069504","0.8081792405621394","0.9933974117275748","0.768463260623956"
"genial-sweep-870","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:12:12.000Z","91","1zl63867","false","","gini","10","sqrt","5","10","6","false","1338","9691","0.2","false","0.9866070410823796","0.7734932620980747","0.9864993020688496","0.7806700039953937","0.9869692371811244","0.8205897202993385","0.9866070410823796","0.7734932620980747"
"volcanic-sweep-869","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:10:34.000Z","93","1zl63867","false","","gini","10","sqrt","5","10","6","false","3265","6429","0.2","false","0.9860757978144457","0.8705724933096566","0.9859912378118312","0.8776083627838108","0.9863711332946954","0.8874381262609127","0.9860757978144457","0.8705724933096566"
"charmed-sweep-868","b5z9x9v0","finished","-","7ben18","","2023-06-03T18:08:57.000Z","94","1zl63867","false","","gini","10","sqrt","5","10","6","false","2604","7690","0.2","false","0.9891225890281692","0.7383081180766501","0.9890467575170236","0.7285572936426584","0.9892490244482566","0.7862087231573747","0.9891225890281692","0.7383081180766501"
